"smolt year","smolt","adults","survival rate (%)"
1982,3447,NA,NA
1983,3449,101,2.93
1984,2753,140,5.09
1985,4266,215,5.04
1986,1979,173,8.74
1987,1771,146,8.24
1988,NA,229,NA
1989,NA,100,NA
1990,NA,204,NA
1991,NA,164,NA
1992,1935,67,3.46
1993,1741,51,2.93
1994,2442,135,5.53
1995,1882,49,2.6
1996,1636,45,2.75
1997,6268,281,4.48
1998,1653,40,2.42
1999,652,71,10.89
2000,1763,124,7.03
2001,NA,134,NA
2002,1767,41,2.32
2003,2974,131,4.4
2004,7546,378,5.01
2005,5192,129,2.48
2006,2694,83,3.08
2007,5424,188,3.47
2008,6633,133,2.01
2009,1153,173,15
2010,2846,175,6.15
2011,6435,209,3.25
2012,6408,201,3.14
2013,1858,185,9.96
2014,2672,153,5.73
2015,7501,239,3.19
2016,7762,NA,NA
2017,1511,NA,NA
