"smolt year","smolt","adults","survival rate (%)"
1984,NA,248,NA
1985,NA,79,NA
1986,744,233,31.32
1987,356,152,42.7
1988,413,193,46.73
1989,822,82,9.98
1990,809,55,6.8
1991,199,49,24.62
1992,674,115,17.06
1993,227,44,19.38
1994,568,141,24.82
1995,743,252,33.92
1996,999,54,5.41
1997,472,186,39.41
1998,1071,232,21.66
1999,261,245,93.87
2000,2163,212,9.8
2001,1353,316,23.36
2002,2366,255,10.78
2003,1232,347,28.17
2004,1233,176,14.27
2005,846,203,24
2006,1355,203,14.98
2007,954,120,12.58
2008,2152,160,7.43
2009,3385,547,16.16
2010,1409,255,18.1
2011,1803,266,14.75
2012,1362,313,22.98
2013,1285,271,21.09
2014,1566,150,9.58
2015,2296,315,13.72
2016,1950,NA,NA
2017,1656,NA,NA
