"smolt year","smolt","adults","survival rate (%)"
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,499,NA
1994,NA,735,NA
1995,6198,648,10.45
1996,1999,426,21.31
1997,9982,552,5.53
1998,4754,236,4.96
1999,2608,301,11.54
2000,3165,303,9.57
2001,11980,576,4.81
2002,1242,281,22.62
2003,10130,1119,11.05
2004,7829,490,6.26
2005,10760,893,8.3
2006,7138,502,7.03
2007,7543,373,4.94
2008,10540,314,2.98
2009,13690,889,6.49
2010,10540,463,4.39
2011,8867,438,4.94
2012,8165,691,8.46
2013,8493,766,9.02
2014,10250,595,5.8
2015,6608,624,9.44
2016,9763,NA,NA
2017,6248,NA,NA
